CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;100,000000;0,000000;0,000000;3095;5;51;1;0
0;0,000000;0,000000;100,000000;3096;5;51;16;0
0;0,000000;76,876750;23,123250;3097;2;29;10;0
0;0,000000;100,000000;0,000000;3098;2;29;10;0
0;24,558420;8,275720;67,165860;3099;5;52;15;0
0;0,000000;8,520890;91,479110;3100;2;29;16;0
0;0,000000;0,000000;100,000000;3101;5;51;16;0
0;0,000000;100,000000;0,000000;3102;2;29;10;0
0;0,000000;55,701730;44,298270;3103;2;29;12;0
0;0,000000;34,092360;65,907640;3104;2;29;14;0
0;0,000000;59,302920;40,697080;3105;2;29;12;0
0;0,000000;67,665960;32,334040;3106;2;29;12;0
0;0,000000;93,157540;6,842460;3107;2;29;10;0
0;0,000000;0,000000;100,000000;3108;1;17;16;0
0;0,000000;0,000000;100,000000;3109;5;51;16;0
0;0,000000;79,487930;20,512070;3110;2;29;10;0
0;0,000000;8,467530;91,532470;3111;2;29;16;0
0;0,000000;19,180090;80,819910;3112;2;29;16;0
0;0,000000;3,128370;96,871630;3113;2;29;16;0
0;1,299640;90,972630;7,727740;3114;5;51;10;0
0;0,000000;0,000000;100,000000;3115;5;51;16;0
0;0,000000;2,828720;97,171280;3116;2;29;16;0
0;0,000000;6,951360;93,048640;3117;5;51;16;0
0;23,359660;60,777670;15,862670;3118;5;52;11;0
0;0,000000;0,000000;100,000000;3119;2;29;16;0
0;0,000000;3,699890;96,300110;3120;2;29;16;0
0;0,000000;9,728960;90,271040;3121;1;11;16;0
0;100,000000;0,000000;0,000000;3122;2;29;1;0
0;100,000000;0,000000;0,000000;3123;2;29;1;0
0;0,000000;100,000000;0,000000;3124;2;29;10;0
0;0,000000;73,974590;26,025410;3125;2;29;12;0
0;0,000000;74,271320;25,728680;3126;2;29;12;0
0;0,001050;4,634020;95,364930;3127;2;29;16;0
0;0,000000;22,961460;77,038540;3128;2;29;16;0
